Период;M2;VVP;LESMAT;FANERA;STRUZPLIT
1 кв. 2013;26760.57;16370;1692.946667;276035;547604
2 кв. 2013;27389.7;17507.88;1887.833333;285353;490875.3333
3 кв. 2013;28385.37;19003.47;1912.376667;276948.6667;582383
4 кв. 2013;28500.77;20104.35;1754.856667;271288.6667;591913.3333
1 кв. 2014;30395.27;17311.39;1669.056667;287335.6667;553496.6667
2 кв. 2014;29763.03;19044.19;1806.32;301967.6667;495947.6667
3 кв. 2014;30196.7;20544;1946.133333;295152;603921
4 кв. 2014;30090.23;22130.45;1753.953333;305095;620542.3333
1 кв. 2015;31291.47;18467.91;1781.3;304003.6667;613433.3333
2 кв. 2015;31515.37;19751.01;1834.873333;310058.3333;491316.3333
3 кв. 2015;32123.27;21788.59;1925.243333;307963.3333;632425.3333
4 кв. 2015;32319.5;23079.84;1801.823333;297137;665174.6667
1 кв. 2016;34485.27;18885.12;1881;313879.6667;569095.3333
2 кв. 2016;35145.93;20452.23;2014;323068;538841.3333
3 кв. 2016;36019.4;22235.12;2079.333333;321967.3333;655913.6667
4 кв. 2016;36210.93;24043.61;1952.666667;319941.6667;700652
1 кв. 2017;38299.03;20586.12;2030.17;319945.6667;687065.3333
2 кв. 2017;38813.97;21917.57;2146.716667;320124;630657.3333
3 кв. 2017;38813.97;23718.22;2182.413333;315178.3333;735407
4 кв. 2017;39784.3;25621.25;2028.04;299117.6667;703675.6667
1 кв. 2018;42028.4;22845.27;2281.636667;327622.3333;753141
2 кв. 2018;42918.8;25225.57;2387.95;339363;804177.3333
3 кв. 2018;44135.37;27508.92;2493.29;343089;896331.3333
4 кв. 2018;44454.9;29049.87;2344.443333;363679;917168.3333
1 кв. 2019;46347.7;24944.79;2427.275;353898.0403;835134.6667
2 кв. 2019;46437.47;26410.24;2621.403333;341516.657;807265
3 кв. 2019;47428.17;28875.42;2622.851667;357197.2733;845852.9333
4 кв. 2019;44454.9;29815.6;2317.579;329448.423;849191.3667
1 кв. 2020;51199.13;25317.67;2395.09;338875.6667;799621.3333
2 кв. 2020;52782.23;23288.18;2469.163333;341058.6667;606484.6667
3 кв. 2020;54791.4;27941.34;2602.833333;353475.6667;961412
4 кв. 2020;56006.03;29815.6;2276.026667;365860.3333;950245.6667
1 кв. 2021;58125.3;28801.9;2475.99;374891;879689
